#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
1883;J1817-2311;NAN;NAN;NAN;44969.00;8.489;-3.270;274.25000000;-23.18333333;0.625470;NAN;240.00;NAN;4.00;NAN;NAN;7.933;-0.452;1.169;0.667;NAN;misc;
1884;J1817-3618;19.000;-16.000;NAN;57600.00;356.801;-9.374;274.27440417;-36.30127778;0.387019;2.02e-15;94.13;NAN;22.00;3.20;NAN;4.383;-0.714;-0.241;4.182;NAN;mol2,gbncc,htru_pks,pks70,pkssw;
1885;J1817-3837;NAN;NAN;NAN;49526.46;354.678;-10.406;274.25112500;-38.63325000;0.384487;5.80e-16;102.85;0.00;12.00;2.09;NAN;6.086;-1.099;-0.555;2.540;NAN;pks70,gbncc,htru_pks,pkssw;
1886;J1818-0151;NAN;NAN;NAN;57015.00;27.482;6.479;274.60737500;-1.86500000;0.837535;9.11e-15;201.00;NAN;NAN;0.09;NAN;17.391;1.962;7.974;-6.830;NAN;htru_pks,fast_gpps;
1887;J1818-1116;NAN;NAN;NAN;52158.00;19.144;2.068;274.61020833;-11.27472222;0.544800;3.82e-15;422.00;NAN;NAN;0.50;NAN;13.004;0.469;4.262;-3.777;NAN;pksmb,htru_pks;
1888;J1818-1422;NAN;NAN;NAN;54000.00;16.405;0.610;274.59902500;-14.37686389;0.291489;2.04e-15;619.65;0.06;NAN;9.60;NAN;5.439;0.058;1.536;3.283;NAN;jb2,htru_pks,pks1,pksmb;
1889;J1818-1448;NAN;NAN;NAN;54863.10;16.031;0.390;274.61629167;-14.81055556;0.281371;6.15e-15;644.00;NAN;NAN;0.19;NAN;4.996;0.034;1.380;3.698;NAN;pksmb;
1890;J1818-1519;NAN;NAN;NAN;51415.00;15.550;0.192;274.56083333;-15.32861111;0.939690;4.11e-15;845.00;NAN;NAN;2.10;NAN;5.361;0.018;1.437;3.335;NAN;pksmb,htru_pks;
1891;J1818-1541;NAN;NAN;NAN;51491.00;15.270;-0.063;274.65633333;-15.69583333;0.551134;9.67e-15;690.00;NAN;NAN;1.00;NAN;4.792;-0.005;1.262;3.877;NAN;pksmb,htru_pks;
1892;J1818-1556;NAN;NAN;NAN;54263.40;15.087;-0.227;274.71645833;-15.93444444;0.952709;7.06e-16;230.00;NAN;NAN;0.49;NAN;3.464;-0.014;0.902;5.155;NAN;pksmb,htru_pks;
1893;J1818-1607;NAN;NAN;NAN;59080.20;14.815;-0.138;274.50080583;-16.13139025;1.363492;4.18e-11;699.20;0.04;NAN;0.20;NAN;4.808;-0.012;1.229;3.852;XRS:[bs20],XRS:[erb+20];misc;
1894;J1819+0322;NAN;NAN;NAN;NAN;32.275;8.696;274.81349128;3.37386142;0.799166;1.27e-16;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;NAN;gbncc;
1895;J1819+1305;NAN;NAN;NAN;51650.00;41.227;12.828;274.98427500;13.08756944;1.060364;3.59e-16;64.81;NAN;6.20;1.10;NAN;4.047;0.899;2.601;5.532;NAN;pkssw,misc;
1896;J1819-0925;NAN;NAN;NAN;52105.00;20.935;2.633;274.96059167;-9.43052778;0.852047;3.13e-15;378.00;NAN;NAN;0.72;NAN;13.840;0.636;4.940;-4.413;NAN;pksmb,htru_pks;
1897;J1819-1008;NAN;NAN;NAN;52182.00;20.287;2.337;274.91660833;-10.14111111;0.301490;1.32e-15;404.00;NAN;NAN;0.35;NAN;13.539;0.552;4.690;-4.189;NAN;pksmb,htru_pks;
1898;J1819-1114;NAN;NAN;NAN;54849.90;19.291;1.857;274.86991667;-11.24527778;0.294163;5.66e-16;309.70;0.05;NAN;1.07;NAN;5.795;0.188;1.913;3.033;NAN;pksmb,htru_pks;
1899;J1819-1131;NAN;NAN;NAN;51874.00;19.101;1.619;274.99229167;-11.52472222;1.388137;7.61e-16;578.00;NAN;NAN;0.15;NAN;16.393;0.463;5.362;-6.984;NAN;pksmb;
1900;J1819-1318;NAN;NAN;NAN;52856.00;17.497;0.829;274.93191667;-13.31166667;1.515696;5.97e-16;35.10;NAN;NAN;0.16;NAN;0.812;0.012;0.244;7.726;NAN;pksmb;
1901;J1819-1408;NAN;NAN;NAN;51612.00;16.797;0.394;274.98666667;-14.13377778;1.788490;2.59e-15;1075.00;NAN;NAN;0.50;NAN;8.967;0.062;2.591;-0.084;NAN;pksmb,htru_pks;
1902;J1819-1458;NAN;NAN;NAN;55996.24;16.019;0.080;274.89238750;-14.96765833;4.263213;5.63e-13;196.00;NAN;NAN;NAN;NAN;3.301;0.005;0.911;5.327;XRS:CXOU_J181939.1-145804[mrg+07],OPT:2M;pksmb;
1903;J1819-1510;NAN;NAN;NAN;51492.00;15.876;-0.086;274.97371250;-15.17238889;0.226539;7.85e-18;418.14;0.02;NAN;0.60;NAN;4.123;-0.006;1.128;4.534;NAN;pksmb,htru_pks;
1904;J1819-17;NAN;NAN;NAN;56657.00;14.146;-0.904;274.87500000;-17.08333333;2.352135;NAN;67.00;NAN;NAN;0.14;NAN;1.881;-0.030;0.460;6.676;NAN;htru_pks;
1905;J1819-1717;NAN;NAN;NAN;54756.20;13.991;-1.048;274.93083333;-17.28777778;0.393522;3.45e-15;405.00;NAN;NAN;0.26;NAN;4.792;-0.088;1.158;3.851;NAN;pksmb;
1906;J1819-37;NAN;NAN;NAN;NAN;356.342;-10.029;274.75000000;-37.00000000;0.632000;NAN;68.20;NAN;NAN;NAN;NAN;2.712;-0.472;-0.170;5.835;NAN;gbncc;
1907;J1820-0427;-7.310;15.890;0.350;56000.00;25.457;4.733;275.21913917;-4.46047556;0.598082;6.33e-15;84.44;0.00;157.00;10.07;NAN;2.700;0.223;1.157;6.070;NAN;mol1,gb2,gb3,htru_pks,jb1,lotaas,mo;
1908;J1820-0509;NAN;NAN;NAN;53035.00;24.777;4.516;275.09470000;-5.16069444;0.337321;9.32e-16;102.40;NAN;NAN;0.25;NAN;3.297;0.260;1.377;5.516;NAN;pksmb,gbncc,htru_pks;
1909;J1820-1346;NAN;NAN;NAN;49609.00;17.161;0.483;275.08233150;-13.77091020;0.921460;4.50e-15;771.00;0.11;NAN;2.00;NAN;5.837;0.049;1.722;2.923;NAN;jb2,htru_pks,pks1,pksmb;
1910;J1820-1529;NAN;NAN;NAN;55373.00;15.681;-0.406;275.17212500;-15.49507222;0.333254;3.79e-14;768.50;NAN;NAN;0.83;NAN;5.195;-0.037;1.404;3.498;NAN;pksmb,htru_pks;
1911;J1820-1818;NAN;NAN;NAN;50283.00;13.202;-1.720;275.16286537;-18.30090532;0.309905;9.36e-17;436.00;0.00;NAN;1.50;NAN;14.064;-0.422;3.210;-5.186;NAN;pks1,htru_pks,pksmb;
1912;J1821+0155;NAN;NAN;NAN;NAN;31.244;7.504;275.41201533;1.92277583;0.033781;2.90e-20;51.75;NAN;NAN;0.29;NAN;1.722;0.225;0.886;7.040;NAN;gbt350,ar327,gbncc,fast_gpps;
1913;J1821+1715;NAN;NAN;NAN;53064.00;45.259;14.302;275.30626250;17.26307222;1.366682;8.71e-16;60.28;NAN;3.70;NAN;NAN;4.140;1.023;2.849;5.676;NAN;ar4,lotaas;
1914;J1821+4147;NAN;NAN;NAN;56375.00;69.537;22.905;275.46810731;41.78404269;1.261857;1.73e-15;40.60;NAN;NAN;NAN;NAN;4.427;1.723;3.821;7.074;NAN;gbncc,lotaas,fast_gpps;
1915;J1821-0256;NAN;NAN;NAN;53097.00;26.839;5.372;275.29295833;-2.94405556;0.414111;3.72e-17;84.00;NAN;NAN;0.19;NAN;3.160;0.296;1.420;5.693;NAN;pksmb,fast_gpps;
1916;J1821-0331;NAN;NAN;NAN;55980.90;26.393;4.978;275.43625000;-3.52019444;0.902316;2.53e-15;171.50;NAN;NAN;0.20;NAN;7.555;0.656;3.346;1.758;NAN;pksmb;
1917;J1821-1419;NAN;NAN;NAN;52303.00;16.815;-0.043;275.39291667;-14.32388889;1.656010;8.95e-13;1123.00;NAN;NAN;0.20;NAN;6.129;-0.005;1.773;2.633;NAN;pksmb;
1918;J1821-1432;NAN;NAN;NAN;54217.70;16.628;-0.168;275.41573750;-14.54811111;1.915131;5.37e-15;570.00;NAN;NAN;0.22;NAN;4.540;-0.013;1.299;4.150;NAN;pksmb,htru_pks;
1919;J1822+02;NAN;NAN;NAN;NAN;31.353;7.461;275.50000000;2.00000000;1.508000;NAN;103.80;NAN;NAN;NAN;NAN;5.411;0.703;2.792;3.918;NAN;gbncc;
1920;J1822+0705;NAN;NAN;NAN;51341.00;35.983;9.685;275.57684107;7.08861714;1.362817;1.75e-15;62.20;NAN;3.80;NAN;NAN;2.872;0.483;1.663;6.209;NAN;ar4,lotaas,fast_gpps;
1921;J1822+1120;NAN;NAN;NAN;51602.00;39.870;11.571;275.56083333;11.34894444;1.787037;2.35e-15;95.20;NAN;0.50;NAN;NAN;7.776;1.560;4.883;2.653;NAN;ar4,fast_gpps;
1922;J1822+2617;NAN;NAN;NAN;58688.00;54.027;17.554;275.68674583;26.29078611;0.591418;7.98e-16;64.70;NAN;NAN;NAN;NAN;7.861;2.371;6.066;4.097;NAN;fast_crafts;
1923;J1822-0719;NAN;NAN;NAN;57700.00;23.096;3.043;275.61697083;-7.33194444;0.499076;1.90e-17;199.00;NAN;NAN;NAN;NAN;4.611;0.245;1.806;4.265;NAN;htru_pks;
1924;J1822-0902;NAN;NAN;NAN;57566.00;21.590;2.212;275.64893750;-9.04975000;0.148895;1.78e-14;448.10;NAN;NAN;NAN;NAN;15.672;0.605;5.763;-6.062;NAN;htru_pks;
1925;J1822-0907;NAN;NAN;NAN;52267.00;21.530;2.161;275.66583333;-9.12666667;0.974700;3.55e-16;467.00;NAN;NAN;0.12;NAN;16.079;0.606;5.897;-6.446;NAN;pksmb,htru_pks;
1926;J1822-1252;NAN;NAN;NAN;51809.00;18.218;0.394;275.67375000;-12.88027778;2.071040;8.48e-14;925.00;NAN;NAN;0.25;NAN;6.405;0.044;2.002;2.416;NAN;pksmb,htru_pks;
1927;J1822-1400;NAN;NAN;NAN;49266.36;17.252;-0.176;275.72517768;-14.00066746;0.214771;9.07e-16;649.27;0.01;NAN;0.80;NAN;4.754;-0.015;1.410;3.960;NAN;jb2,htru_pks,pksmb;
1928;J1822-1604;NAN;NAN;NAN;55761.00;15.353;-1.021;275.57500000;-16.07411111;8.437721;2.14e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;XRS:SGR_J1822-1606;misc;
1929;J1822-1617;NAN;NAN;NAN;51932.00;15.194;-1.189;275.65250000;-16.29305556;0.831156;1.89e-15;647.00;NAN;NAN;0.20;NAN;14.878;-0.309;3.899;-5.855;NAN;pksmb;
1930;J1822-2256;NAN;NAN;NAN;48740.00;9.349;-4.373;275.74564215;-22.94183603;1.874269;1.35e-15;121.20;0.00;25.00;3.80;NAN;3.261;-0.249;0.528;5.292;NAN;jb1,htru_pks,mol2,pks70,pksmb;
1931;J1822-4209;NAN;NAN;NAN;49015.00;351.883;-12.829;275.54731667;-42.15305000;0.456512;4.59e-16;72.51;NAN;7.00;0.90;NAN;3.687;-0.819;-0.508;4.941;NAN;pks70,htru_pks,pkssw;
1932;J1823+0550;5.000;-2.000;NAN;48713.00;34.987;8.859;275.87905458;5.84008611;0.752907;2.27e-16;66.70;0.00;18.00;1.70;NAN;2.000;0.308;1.133;6.881;NAN;mol2,ar4,gb3,gb4,lotaas,pkssw,fast_;
1933;J1823-0154;NAN;NAN;NAN;50850.00;28.081;5.256;275.96727520;-1.90127008;0.759777;1.13e-15;135.90;0.00;13.00;0.78;NAN;5.267;0.483;2.469;3.873;NAN;pks70,gbncc,htru_pks,pksmb,fast_gpp;
1934;J1823-1126;NAN;NAN;NAN;52331.00;19.568;0.935;275.83275000;-11.43444444;1.846534;3.65e-14;607.00;NAN;NAN;0.51;NAN;9.272;0.151;3.105;-0.235;NAN;pksmb,htru_pks;
1935;J1823-1347;NAN;NAN;NAN;51481.00;17.488;-0.189;275.85104167;-13.79833333;0.617107;9.60e-15;1044.00;NAN;NAN;0.41;NAN;5.873;-0.019;1.765;2.898;NAN;pksmb,htru_pks;
1936;J1823-1526;NAN;NAN;NAN;52267.00;16.033;-0.948;275.83925000;-15.43944444;1.625405;4.52e-15;611.00;NAN;NAN;0.47;NAN;8.153;-0.135;2.251;0.665;NAN;pksmb,htru_pks;
1937;J1823-1807;NAN;NAN;NAN;51295.00;13.636;-2.164;275.79033333;-18.12583333;1.636792;2.79e-16;330.00;NAN;NAN;0.39;NAN;10.149;-0.383;2.391;-1.356;NAN;pksmb,htru_pks;
1938;J1823-3021A;0.120;-6.940;0.130;55049.00;2.788;-7.913;275.91869588;-30.36114639;0.005440;3.38e-18;86.88;NAN;16.00;0.72;0.08;8.020;-1.104;0.386;0.566;GRS:4FGL_J1823.5-3020[aab+22],GC:NGC6624;misc,FermiBlind,htru_pks,pks70;
1939;J1823-3021B;0.120;-6.940;0.130;55049.00;2.790;-7.917;275.92310625;-30.36137222;0.378596;2.99e-17;87.01;NAN;2.20;0.07;0.08;8.020;-1.105;0.387;0.566;GC:NGC6624;misc,htru_pks;
1940;J1823-3021C;0.120;-6.940;0.130;55049.00;2.790;-7.915;275.92146500;-30.36068056;0.405936;2.24e-16;86.90;NAN;NAN;NAN;0.04;8.020;-1.104;0.387;0.566;GC:NGC6624;misc;
1941;J1823-3021D;0.120;-6.940;0.130;55050.00;2.787;-7.914;275.91888000;-30.36212778;0.003020;NAN;86.80;NAN;NAN;NAN;0.03;8.020;-1.104;0.386;0.566;GC:NGC6624;misc;
1942;J1823-3021E;0.120;-6.940;0.130;54100.00;2.775;-7.914;275.91220833;-30.37286111;0.004394;NAN;91.40;NAN;NAN;NAN;NAN;8.020;-1.104;0.385;0.566;GC:NGC6624;misc;
1943;J1823-3021F;0.120;-6.940;0.130;54100.00;2.789;-7.914;275.91945833;-30.36108333;0.004850;NAN;86.70;NAN;NAN;NAN;NAN;8.020;-1.104;0.386;0.566;GC:NGC6624;misc;
1944;J1823-3021H;0.120;-6.940;0.130;NAN;2.788;-7.913;275.91866667;-30.36108333;0.005130;NAN;86.85;NAN;NAN;0.03;NAN;8.020;-1.104;0.386;0.566;GC:NGC6624;meerkat_trapum;
1945;J1823-3106;18.000;27.000;NAN;50093.00;2.120;-8.273;275.94495157;-31.11381963;0.284054;2.93e-15;50.24;NAN;36.00;5.60;NAN;1.586;-0.228;0.058;6.932;NAN;mol2,htru_pks,pks70,pkssw;
1946;J1824-0127;NAN;NAN;NAN;57600.00;28.588;5.231;276.22262500;-1.46427778;2.499470;3.91e-15;63.20;NAN;NAN;0.59;NAN;2.233;0.204;1.064;6.547;NAN;pksmb,gbncc,fast_gpps;
1947;J1824-0132;NAN;NAN;NAN;57658.00;28.525;5.188;276.23156250;-1.54000000;0.223729;2.82e-17;81.00;NAN;NAN;0.12;NAN;3.176;0.287;1.510;5.721;NAN;htru_pks,fast_gpps;
1948;J1824-1118;NAN;NAN;NAN;49480.00;19.809;0.741;276.12307874;-11.31183739;0.435759;3.55e-15;601.31;0.03;NAN;1.30;NAN;5.978;0.077;2.026;2.876;NAN;jb2,htru_pks,pksmb;
1949;J1824-1159;NAN;NAN;NAN;51495.00;19.253;0.324;276.23396250;-11.99816667;0.362492;5.38e-15;462.96;0.02;NAN;0.70;NAN;4.457;0.025;1.470;4.292;NAN;pksmb,htru_pks;
1950;J1824-1350;NAN;NAN;NAN;56612.00;17.614;-0.515;276.20908750;-13.83916667;1.396599;6.07e-16;551.00;NAN;NAN;0.08;NAN;4.693;-0.042;1.420;4.027;NAN;htru_pks;
1951;J1824-1423;NAN;NAN;NAN;51719.00;17.146;-0.796;276.23911250;-14.38480556;0.359394;3.92e-16;427.63;0.01;NAN;0.80;NAN;4.548;-0.063;1.341;4.155;NAN;pksmb,htru_pks;
1952;J1824-1500;NAN;NAN;NAN;52265.00;16.512;-0.934;276.05875000;-15.00916667;0.412230;7.58e-16;571.00;NAN;NAN;0.16;NAN;6.073;-0.099;1.726;2.678;NAN;pksmb,htru_pks;
1953;J1824-1945;12.200;10.000;NAN;55291.00;12.276;-3.108;276.00233333;-19.76760000;0.189337;5.24e-15;224.38;0.00;71.00;7.80;NAN;3.700;-0.201;0.786;4.890;NAN;mol2,htru_pks,pks1,pks70,pksmb;
1954;J1824-2233;NAN;NAN;NAN;53165.00;9.822;-4.435;276.04300000;-22.55305556;1.161743;3.01e-16;156.50;NAN;NAN;0.22;NAN;4.597;-0.356;0.782;3.984;NAN;pksmb,htru_pks;
1955;J1824-2328;NAN;NAN;NAN;53111.00;9.037;-4.922;276.11933333;-23.47138889;1.505875;1.74e-15;195.40;NAN;NAN;0.32;NAN;8.965;-0.769;1.403;-0.321;NAN;pksmb,gbncc,htru_pks;
1956;J1824-2452A;-0.280;-8.920;0.200;55683.00;7.797;-5.578;276.13336627;-24.86968846;0.003054;1.62e-18;119.91;0.00;40.00;2.30;NAN;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),GRS:4FGL_J1824.6-2452[aa;misc,FermiAssoc,pksmb;
1957;J1824-2452B;-0.280;-8.920;0.200;54100.00;7.798;-5.580;276.13670833;-24.86977778;0.006547;NAN;119.50;NAN;NAN;NAN;NAN;5.370;-0.522;0.725;3.205;GC:M28(NGC6626);misc;
1958;J1824-2452E;-0.280;-8.920;0.200;54100.00;7.798;-5.580;276.13670833;-24.86977778;0.005420;NAN;119.80;NAN;NAN;NAN;NAN;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:(?)[bvs+11];misc;
1959;J1824-2452F;-0.280;-8.920;0.200;54100.00;7.798;-5.580;276.13670833;-24.86977778;0.002451;NAN;123.80;NAN;NAN;NAN;NAN;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];misc;
1960;J1824-2537;NAN;NAN;NAN;53000.00;7.123;-5.918;276.12744583;-25.62194444;0.223320;4.40e-16;158.50;NAN;NAN;NAN;NAN;7.301;-0.753;0.900;1.294;NAN;pkssw,htru_pks;
1961;J1825+0004;NAN;NAN;NAN;49719.00;30.001;5.856;276.31385216;0.07213930;0.778949;8.76e-16;56.60;NAN;8.00;0.40;NAN;1.860;0.190;0.925;6.898;NAN;gb2,htru_pks,lotaas,pks70,pkssw,fas;
1962;J1825-0935;-13.000;-9.000;NAN;57600.00;21.449;1.324;276.37747500;-9.58922222;0.769021;5.24e-14;19.38;0.00;36.00;10.00;NAN;0.300;0.007;0.110;8.221;XRS:[pb15];jb1,gb2,htru_pks,mol2,pks70,pksmb;
1963;J1825-1108;NAN;NAN;NAN;56783.00;20.047;0.641;276.32625000;-11.14833333;1.925872;1.90e-15;121.00;NAN;NAN;0.13;NAN;2.750;0.031;0.943;5.917;NAN;htru_pks;
1964;J1825-1446;11.070;-27.610;NAN;55314.00;16.805;-1.001;276.26233333;-14.78160278;0.279198;2.27e-14;352.23;0.02;NAN;2.90;NAN;4.441;-0.078;1.284;4.249;NAN;jb2,htru_pks,pks1,pksmb;
1965;J1825-31;NAN;NAN;NAN;55561.00;2.400;-8.658;276.49166667;-31.03888889;2.382000;NAN;93.30;NAN;NAN;NAN;NAN;3.967;-0.597;0.164;4.582;NAN;htru_pks,gbncc;
1966;J1825-33;NAN;NAN;NAN;54831.00;0.309;-9.697;276.50833333;-33.35000000;1.271200;NAN;43.00;NAN;NAN;NAN;NAN;1.238;-0.209;0.007;7.280;NAN;pkssw;
1967;J1826-1131;NAN;NAN;NAN;49464.00;19.800;0.293;276.52280293;-11.52878499;2.093136;4.91e-15;320.58;0.00;5.00;0.71;NAN;3.974;0.020;1.346;4.761;NAN;jb2,htru_pks,pksmb;
1968;J1826-1256;NAN;NAN;NAN;56360.00;18.556;-0.377;276.53554167;-12.94250000;0.110239;1.21e-13;NAN;NAN;NAN;NAN;NAN;1.550;-0.010;0.493;7.031;GRS:4FGL_J1826.1-1256[aab+22],XRS:AXJ182;FermiBlind;
1969;J1826-1334;23.000;-4.000;NAN;52400.00;18.001;-0.691;276.55489583;-13.57966667;0.101487;7.53e-14;231.00;0.00;NAN;4.70;NAN;3.606;-0.043;1.114;5.071;GRS:J1825-137[aab+06],XRS:G18.0-0.7[gsk+;jb2,htru_pks,pks1,pksmb;
1970;J1826-1419;NAN;NAN;NAN;54053.00;17.398;-1.142;276.67662917;-14.32266667;0.770620;8.78e-15;160.00;NAN;NAN;NAN;NAN;3.243;-0.065;0.970;5.406;NAN;pksmb;
1971;J1826-1526;NAN;NAN;NAN;51720.00;16.358;-1.553;276.55250000;-15.43416667;0.382073;1.08e-15;530.00;NAN;NAN;0.46;NAN;14.925;-0.405;4.202;-5.816;NAN;pksmb,htru_pks;
1972;J1826-2415;NAN;NAN;NAN;57054.00;8.553;-5.718;276.65010833;-24.26513889;0.004696;1.74e-20;81.86;NAN;NAN;0.49;NAN;2.753;-0.274;0.407;5.791;NAN;htru_pks;
1973;J1827-0750;NAN;NAN;NAN;53223.00;23.176;1.803;276.76139583;-7.83866667;0.270502;1.54e-15;375.45;NAN;NAN;2.90;NAN;9.831;0.309;3.867;-0.533;NAN;pksmb,htru_pks;
1974;J1827-0849;NAN;NAN;NAN;56000.00;22.364;1.221;276.90166667;-8.82833333;0.002242;1.10e-20;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J1827.6-0849[aab+22];FermiAssoc;
1975;J1827-0934;NAN;NAN;NAN;51491.00;21.724;0.841;276.94118333;-9.57122222;0.512548;7.23e-15;259.20;NAN;NAN;0.29;NAN;4.068;0.060;1.506;4.721;NAN;pksmb,htru_pks;
1976;J1827-0958;NAN;NAN;NAN;49480.00;21.286;0.798;276.77283270;-9.97867092;0.245757;1.00e-15;430.00;0.03;NAN;2.20;NAN;5.023;0.070;1.823;3.820;NAN;jb2,htru_pks,pksmb;
1977;J1827-1446;NAN;NAN;NAN;55716.00;17.077;-1.503;276.85250000;-14.77444444;0.499187;4.53e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;GRS:4FGL_J1827.4-1445[aab+22];FermiBlind;
1978;J1828+1221;NAN;NAN;NAN;57734.00;41.457;10.657;277.09233750;12.35580556;1.528295;1.75e-15;69.10;NAN;NAN;0.50;NAN;3.849;0.712;2.504;5.665;NAN;pks_superb;
1979;J1828+1359;NAN;NAN;NAN;51500.00;43.017;11.250;277.22224167;13.99315556;0.741640;7.29e-16;56.00;NAN;1.20;NAN;NAN;2.754;0.537;1.843;6.525;NAN;misc;
1980;J1828-0003;NAN;NAN;NAN;59310.00;30.292;5.027;277.18333333;-0.05000000;3.807116;NAN;193.00;NAN;NAN;NAN;NAN;10.409;0.912;5.230;-0.453;NAN;misc;
1981;J1828-0003g;NAN;NAN;NAN;NAN;30.310;4.994;277.22083333;-0.05000000;NAN;NAN;193.00;NAN;NAN;NAN;NAN;10.290;0.896;5.173;-0.350;NAN;fast_gpps;
1982;J1828-0038g;NAN;NAN;NAN;NAN;29.716;4.867;277.06250000;-0.63333333;2.426000;NAN;70.00;NAN;NAN;NAN;NAN;2.661;0.226;1.314;6.197;NAN;fast_gpps;
1983;J1828-0611;NAN;NAN;NAN;52045.00;24.780;2.279;277.08631250;-6.19763889;0.269415;1.46e-15;363.20;NAN;NAN;1.50;NAN;12.119;0.482;5.076;-2.494;NAN;pksmb,htru_pks;
1984;J1828-1007;NAN;NAN;NAN;51837.00;21.324;0.424;277.12648333;-10.11947222;0.153197;6.13e-16;302.60;NAN;NAN;0.21;NAN;4.014;0.030;1.460;4.761;NAN;pksmb,htru_pks;
1985;J1828-1057;NAN;NAN;NAN;55334.00;20.587;0.024;277.13850000;-10.95747222;0.246333;2.07e-14;249.00;NAN;NAN;0.33;NAN;3.648;0.002;1.283;5.085;NAN;pksmb,htru_pks;
1986;J1828-1101;NAN;NAN;NAN;55356.00;20.495;0.043;277.07833333;-11.03078611;0.072057;1.48e-14;605.00;NAN;NAN;2.30;NAN;4.767;0.004;1.669;4.035;GRS:4FGL_J1828.4-1059[aab+22];pksmb,FermiAssoc,htru_pks;
1987;J1828-1336;NAN;NAN;NAN;51495.00;18.254;-1.243;277.17854167;-13.61250000;0.860332;9.92e-16;494.70;NAN;NAN;0.26;NAN;7.951;-0.172;2.490;0.951;NAN;pksmb,htru_pks;
1988;J1828-2119;NAN;NAN;NAN;53035.00;11.358;-4.734;277.08983333;-21.33222222;0.514523;1.27e-15;268.00;NAN;NAN;0.38;NAN;17.964;-1.483;3.526;-9.052;NAN;pksmb,htru_pks;
1989;J1829+0000;NAN;NAN;NAN;53112.00;30.460;4.817;277.44641667;0.00236111;0.199147;5.25e-16;116.80;NAN;NAN;0.54;NAN;4.353;0.366;2.199;4.761;NAN;pksmb,gbncc,palfa;
1990;J1829+25;NAN;NAN;NAN;NAN;53.348;15.757;277.25000000;25.00000000;2.857000;NAN;74.00;NAN;NAN;NAN;NAN;8.926;2.424;6.892;3.372;NAN;gbncc;
1991;J1829-0734;NAN;NAN;NAN;51947.00;23.647;1.478;277.27237500;-7.57277778;0.318401;4.79e-15;316.80;NAN;NAN;0.45;NAN;6.095;0.157;2.444;2.919;NAN;pksmb,htru_pks;
1992;J1829-1011;NAN;NAN;NAN;56755.00;21.329;0.262;277.27525000;-10.19027778;0.829166;-5.00e-18;610.00;NAN;NAN;0.25;NAN;4.938;0.023;1.796;3.900;NAN;htru_pks;
1993;J1829-1751;22.000;-150.000;NAN;49878.00;14.604;-3.418;277.42973848;-17.85108318;0.307133;5.55e-15;216.83;0.00;78.00;11.00;NAN;5.932;-0.354;1.493;2.770;NAN;jb1,gb3,htru_pks,mol2,pks1,pks70,pk;
1994;J1830-0052;NAN;NAN;NAN;53276.00;29.755;4.251;277.62791667;-0.88166667;0.345698;2.37e-16;220.40;NAN;NAN;0.04;NAN;10.252;0.760;5.074;-0.376;NAN;pksmb,fast_gpps;
1995;J1830-0131;NAN;NAN;NAN;53095.00;29.156;3.994;277.58171667;-1.53002778;0.152512;2.11e-15;97.30;NAN;NAN;0.35;NAN;3.541;0.247;1.721;5.415;NAN;pksmb,htru_pks,fast_gpps;
1996;J1830-10;NAN;NAN;NAN;56657.00;21.036;-0.169;277.52500000;-10.65000000;0.245260;NAN;203.00;NAN;NAN;0.10;NAN;3.420;-0.010;1.228;5.308;NAN;htru_pks;
1997;J1830-1059;NAN;NAN;NAN;55372.00;20.812;-0.478;277.69795833;-10.99070000;0.405073;5.99e-14;159.70;0.00;2.10;1.50;NAN;3.146;-0.026;1.118;5.559;NAN;jb2,htru_pks,pksmb;
1998;J1830-1135;NAN;NAN;NAN;51563.00;20.193;-0.590;277.50716667;-11.59222222;6.221553;4.77e-14;257.00;NAN;NAN;1.10;NAN;3.757;-0.039;1.297;4.974;NAN;pksmb,htru_pks;
1999;J1830-1313;NAN;NAN;NAN;54211.70;18.824;-1.490;277.67491667;-13.22116667;0.747188;1.71e-15;537.00;NAN;NAN;0.26;NAN;12.624;-0.328;4.072;-3.445;NAN;pksmb,htru_pks;
2000;J1830-1414;NAN;NAN;NAN;52265.00;17.839;-1.813;277.50145833;-14.24361111;0.771493;7.62e-17;393.60;NAN;NAN;0.10;NAN;10.101;-0.320;3.093;-1.111;NAN;pksmb;
2001;J1831-04;NAN;NAN;NAN;NAN;26.607;2.486;277.75000000;-4.48333333;1.065578;NAN;216.00;NAN;NAN;NAN;NAN;4.910;0.213;2.197;4.114;NAN;htru_pks;
