#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
95;J0220+3626;NAN;NAN;NAN;57022.00;142.317;-23.040;35.17550000;36.44880556;1.029700;NAN;40.00;220.000;NAN;NAN;NAN;NAN;NAN;2.240;2.240;-0.877;1.260;10.131;NAN;misc,lotaas,tulipp;NAN;
96;J0227+3356;NAN;NAN;NAN;59304.00;144.657;-24.870;36.73775000;33.94104444;1.240102;2.85e-15;27.00;NAN;NAN;NAN;NAN;NAN;NAN;1.595;1.595;-0.671;0.837;9.680;NAN;chime;NAN;
97;J0229+20;NAN;NAN;NAN;55388.00;151.579;-36.417;37.26250000;20.96666667;0.806900;NAN;27.00;NAN;NAN;NAN;NAN;NAN;NAN;2.089;2.089;-1.240;0.800;9.978;NAN;ar327;NAN;
98;J0231+7026;NAN;NAN;NAN;49692.00;131.155;9.181;37.80832172;70.44274548;1.466820;3.11e-15;46.68;34.000;45.900;0.00;2.40;0.30;NAN;1.755;1.755;0.280;1.304;9.640;NAN;gb2,gbncc,lotaas;NAN;
99;J0241+16;NAN;NAN;NAN;55668.00;157.964;-39.185;40.44166667;16.06666667;1.545400;NAN;16.00;NAN;NAN;NAN;NAN;NAN;NAN;0.936;0.936;-0.591;0.272;9.172;NAN;ar327;NAN;
100;J0242+62;NAN;NAN;NAN;54100.00;135.187;2.751;40.64583333;62.94722222;0.592000;NAN;3.92;18.000;39.000;NAN;NAN;NAN;NAN;0.217;0.217;0.010;0.153;8.654;NAN;gbt350,lotaas,gbncc;NAN;
101;J0243+6027;NAN;NAN;NAN;54100.00;136.271;0.500;40.75000000;60.45000000;1.473000;NAN;141.00;36.000;82.000;NAN;NAN;NAN;NAN;2.717;2.717;0.024;1.878;10.463;NAN;gbt350,gbncc;NAN;
102;J0244+14;NAN;NAN;NAN;56160.00;159.914;-40.140;41.21250000;14.45000000;2.128100;NAN;31.00;NAN;NAN;NAN;NAN;NAN;NAN;2.796;2.796;-1.802;0.734;10.507;NAN;ar327;NAN;
103;J0248+4230;NAN;NAN;NAN;56588.00;144.877;-15.322;42.12917917;42.50569167;0.002601;1.69e-20;48.26;NAN;NAN;NAN;NAN;NAN;NAN;1.853;1.853;-0.490;1.028;9.962;GRS:4FGL_J0248.6+4230[brj+21];FermiAssoc;HE[brj+21];
104;J0248+6021;48.000;48.000;NAN;54000.00;136.903;0.697;42.07757083;60.35964444;0.217094;5.51e-14;370.00;26.000;14.000;NAN;NAN;13.70;NAN;2.000;25.000;0.024;1.366;9.960;GRS:4FGL_J0248.4+6021[aab+22];misc;HE[tpc+11];
105;J0250+5854;NAN;NAN;NAN;57973.00;137.767;-0.505;42.57408333;58.90036111;23.535378;2.72e-14;45.28;155.300;NAN;NAN;NAN;0.00;NAN;1.558;1.558;-0.014;1.047;9.654;NAN;lotaas;NAN;
106;J0255-5304;25.000;7.000;NAN;57600.00;269.862;-55.310;43.98455208;-53.07257639;0.447708;3.13e-17;15.90;7.400;10.000;NAN;17.00;5.00;NAN;1.514;1.514;-1.245;-0.862;8.502;NAN;mol1,mol2,pks70,ghrss;NAN;
107;J0301+35;NAN;NAN;NAN;NAN;150.915;-20.736;45.25000000;35.00000000;0.146800;NAN;57.43;5.900;12.000;NAN;NAN;NAN;NAN;3.100;3.100;-1.098;1.409;11.034;NAN;ar4,gbncc;NAN;
108;J0302+2252;NAN;NAN;NAN;57811.00;158.436;-30.815;45.63329167;22.87002778;1.207165;8.25e-17;18.99;50.000;59.000;NAN;70.00;NAN;NAN;1.014;1.014;-0.519;0.320;9.310;NAN;misc,lotaas;NAN;
109;J0304+1932;6.000;-37.000;NAN;49289.00;161.135;-33.270;46.13797917;19.54761111;1.387584;1.30e-15;15.66;46.000;61.000;0.00;27.00;15.10;NAN;0.739;0.739;-0.405;0.200;9.085;NAN;misc,mol2,gb4,lotaas;NAN;
110;J0305+11;NAN;NAN;NAN;NAN;167.463;-39.662;46.27500000;11.38333333;0.862100;NAN;27.97;26.000;NAN;NAN;NAN;NAN;NAN;1.838;1.838;-1.173;0.307;9.881;NAN;lotaas;NAN;
111;J0307+7443;NAN;NAN;NAN;55196.00;131.704;14.223;46.97916667;74.72000000;0.003160;NAN;6.35;NAN;NAN;NAN;0.30;NAN;NAN;0.386;0.386;0.095;0.279;8.749;GRS:4FGL_J0307.8+7443[aab+22];FermiAssoc;HE[hrm+11,aab+22];
112;J0317+13;NAN;NAN;NAN;NAN;168.763;-36.040;49.47500000;13.48333333;1.974300;NAN;12.90;20.000;NAN;NAN;NAN;NAN;NAN;0.366;0.366;-0.215;0.058;8.790;NAN;misc,lotaas;NAN;
113;J0318+0253;NAN;NAN;NAN;56437.00;178.457;-43.605;49.56475417;2.88374444;0.005190;1.76e-20;25.98;NAN;NAN;NAN;NAN;0.01;NAN;1.328;1.328;-0.916;0.026;9.461;GRS:4FGL_J0318.2+0254[aab+22];FermiAssoc;HE[wlz+18];
114;J0323+3944;26.500;-30.770;1.050;56000.00;152.180;-14.338;50.86109125;39.74788972;3.032072;6.36e-16;26.19;42.700;74.700;0.00;34.00;0.90;NAN;0.952;1.197;-0.236;0.431;9.316;NAN;gb1,gb2,gb4,gbncc,lotaas;NAN;
115;J0324+5239;NAN;NAN;NAN;56100.00;145.094;-3.480;51.23108333;52.65869444;0.336620;3.81e-16;115.46;45.000;81.000;NAN;NAN;0.19;NAN;2.290;2.290;-0.139;1.308;10.375;NAN;htru_eff,gbncc;NAN;
116;J0325+6744;NAN;NAN;NAN;56500.00;136.715;9.089;51.27133070;67.74982995;1.364679;1.55e-15;65.28;14.000;27.000;NAN;NAN;NAN;NAN;1.929;1.929;0.305;1.306;9.887;NAN;gbncc;NAN;
117;J0329+1654;NAN;NAN;NAN;52225.00;168.499;-31.683;52.28562500;16.90055556;0.893320;2.15e-16;40.82;17.000;37.000;NAN;0.60;NAN;NAN;2.557;2.557;-1.343;0.434;10.632;NAN;ar4,lotaas;NAN;
118;J0332+5434;16.970;-10.370;0.590;56000.00;144.995;-1.221;53.24754000;54.57870250;0.714520;2.05e-15;26.76;6.600;31.400;0.00;1500.00;203.00;NAN;1.695;1.183;-0.036;0.972;9.888;NAN;misc,jb1,gb1,gb2,gb3,gb4,lotaas,gbn;NAN;
119;J0335+4555;-3.660;-0.080;0.410;56000.00;150.348;-8.038;53.81934000;45.93151444;0.269201;7.35e-18;47.15;6.100;10.200;0.00;6.00;0.80;NAN;2.439;1.535;-0.341;1.195;10.599;NAN;gb2,lotaas;NAN;
120;J0335+6623;NAN;NAN;NAN;56500.00;138.383;8.588;53.98776332;66.38989798;1.761934;4.81e-15;66.73;30.000;52.000;NAN;10.50;NAN;NAN;1.907;1.907;0.285;1.252;9.910;NAN;gbncc,lotaas;NAN;
121;J0337+79;NAN;NAN;NAN;56657.00;130.580;18.709;54.34166667;79.02888889;2.056210;NAN;16.67;NAN;NAN;NAN;NAN;NAN;NAN;1.053;1.053;0.338;0.757;9.149;NAN;gbncc;RRAT[kkl+15];
122;J0340+4130;-0.532;-3.331;0.700;56675.00;153.783;-11.022;55.09703317;41.51258087;0.003299;7.05e-21;49.59;NAN;NAN;NAN;2.00;0.31;NAN;1.603;1.603;-0.306;0.695;9.912;GRS:4FGL_J0340.3+4130[aab+22];FermiAssoc;HE;
123;J0341+5711;NAN;NAN;NAN;54100.00;144.371;1.546;55.25000000;57.18333333;1.888000;NAN;101.00;43.000;75.000;NAN;364.70;NAN;NAN;2.037;2.037;0.055;1.186;10.155;NAN;gbt350,gbncc,lotaas;NAN;
124;J0343+06;NAN;NAN;NAN;NAN;180.791;-36.929;55.75000000;6.00000000;1.007640;NAN;46.00;32.000;65.000;NAN;NAN;NAN;NAN;3.774;3.774;-2.267;-0.042;11.517;NAN;ar4,gbncc;NAN;
125;J0343-3000;NAN;NAN;NAN;52950.00;227.758;-52.338;55.86641667;-30.00763889;2.597027;5.70e-17;20.20;38.000;208.000;NAN;NAN;1.30;NAN;1.594;1.594;-1.262;-0.721;9.155;NAN;pkshl,gbncc;NAN;
126;J0343+5312;NAN;NAN;NAN;49309.00;147.017;-1.428;55.80378531;53.21484111;1.934478;1.34e-14;67.30;44.900;77.100;0.00;3.70;0.30;NAN;1.705;1.705;-0.043;0.928;9.930;NAN;gb1,gb2,lotaas;NAN;
127;J0344-0901;NAN;NAN;NAN;58393.00;197.397;-45.333;56.15612917;-9.01740556;1.226006;3.47e-15;30.90;17.100;24.500;NAN;NAN;0.15;NAN;1.507;1.507;-1.072;-0.317;9.511;NAN;fast_crafts;NAN;
128;J0349+2340;NAN;NAN;NAN;57813.00;167.434;-23.384;57.48908333;23.68138889;2.420771;1.10e-15;62.96;50.000;NAN;NAN;NAN;NAN;NAN;3.746;3.746;-1.487;0.748;11.856;NAN;lotaas;NAN;
129;J0355+28;NAN;NAN;NAN;NAN;165.177;-19.444;58.75000000;28.00000000;0.094300;NAN;48.68;8.300;18.000;NAN;NAN;NAN;NAN;1.789;1.789;-0.596;0.432;10.131;NAN;gbncc;NAN;
130;J0357-05;NAN;NAN;NAN;NAN;195.176;-40.525;59.48333333;-5.16222222;NAN;NAN;56.40;NAN;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-16.244;-4.975;26.840;NAN;gbncc;RRAT[mss+20];
131;J0357+3205;117.000;115.000;NAN;54946.00;162.760;-16.006;59.46875000;32.09027778;0.444104;1.30e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.835;NAN;-0.230;0.238;9.267;GRS:4FGL_J0357.8+3204[aab+22];FermiBlind;NRAD;
132;J0357+5236;13.880;-10.610;0.280;56000.00;149.099;-0.522;59.43683458;52.61597028;0.197030;4.77e-16;103.71;12.500;26.000;0.00;12.00;1.90;NAN;3.571;2.025;-0.033;1.834;11.564;NAN;gb2,gbncc;NAN;
133;J0358+4155;NAN;NAN;NAN;56500.00;156.112;-8.620;59.51322767;41.92195353;0.226484;1.46e-16;46.33;10.500;16.000;NAN;NAN;NAN;NAN;1.481;1.481;-0.222;0.593;9.839;NAN;gbncc,lotaas;NAN;
134;J0358+5413;9.300;8.300;0.910;54096.00;148.190;0.811;59.72384917;54.22049556;0.156384;4.39e-15;57.14;3.900;10.800;0.00;46.00;23.00;NAN;1.000;1.594;0.014;0.527;9.350;XRS:PWN[mvk+06];misc,jb1,gb1,gb2,gb3,gb4,gbncc,lota;HE[to07];
135;J0358+6627;NAN;NAN;NAN;56500.00;140.128;10.064;59.65803763;66.46293697;0.091506;1.09e-17;62.33;2.300;4.400;NAN;NAN;NAN;NAN;1.884;1.884;0.329;1.189;9.924;NAN;gbncc,lotaas;NAN;
136;J0359+5414;NAN;NAN;NAN;55716.00;148.231;0.883;59.85837500;54.24880556;0.079427;1.67e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J0359.4+5414[aab+22],XRS:[wcp+1;FermiBlind;NRAD;
137;J0401-7608;NAN;NAN;NAN;57600.00;290.313;-35.907;60.46562500;-76.13693056;0.545254;1.54e-15;21.70;21.000;27.000;NAN;19.00;3.80;NAN;1.014;1.014;-0.595;-0.770;8.215;NAN;mol2,pks70;NAN;
138;J0402+4825;NAN;NAN;NAN;58650.00;152.428;-3.177;60.66930417;48.43264167;0.512194;2.75e-16;85.70;73.380;87.040;NAN;NAN;NAN;NAN;1.849;1.849;-0.102;0.855;10.136;NAN;fast_crafts;NAN;
139;J0405+3347;NAN;NAN;NAN;NAN;163.260;-14.318;61.25000000;33.00000000;0.016500;NAN;53.30;2.600;5.100;NAN;NAN;NAN;NAN;1.668;1.668;-0.413;0.466;10.048;NAN;gbncc;NAN;
140;J0406+30;NAN;NAN;NAN;NAN;165.571;-16.338;61.50000000;30.00000000;0.002600;NAN;49.37;26.000;3.800;NAN;NAN;NAN;NAN;1.641;1.641;-0.462;0.392;10.025;NAN;gbncc;NAN;
141;J0406+6138;12.400;22.740;0.220;56000.00;144.025;7.046;61.62533583;61.64483556;0.594576;5.57e-15;65.41;18.400;32.400;0.00;15.00;2.80;NAN;4.545;1.785;0.558;2.650;12.151;NAN;gb1,gb2,gb3,gb4,lotaas;NAN;
142;J0408+551;NAN;NAN;NAN;54100.00;148.663;2.267;62.00000000;55.00000000;1.837000;NAN;55.00;NAN;NAN;NAN;NAN;NAN;NAN;1.573;1.573;0.062;0.817;9.842;NAN;gbt350,lotaas;NAN;
143;J0408+552;NAN;NAN;NAN;54100.00;148.663;2.267;62.00000000;55.00000000;0.754000;NAN;63.80;47.000;89.000;NAN;NAN;NAN;NAN;1.661;1.661;0.066;0.863;9.918;NAN;gbt350,gbncc;NAN;
144;J0410-31;NAN;NAN;NAN;55196.00;230.586;-46.671;62.66250000;-31.12472222;1.878500;NAN;9.20;26.000;49.000;NAN;NAN;NAN;NAN;0.415;0.415;-0.302;-0.220;8.681;NAN;htru_pks,gbncc;RRAT;
145;J0413+58;NAN;NAN;NAN;54100.00;147.122;4.934;63.25000000;58.00000000;0.687000;NAN;57.00;21.000;55.000;NAN;NAN;NAN;NAN;1.630;1.630;0.140;0.882;9.864;NAN;gbt350,lotaas,gbncc;NAN;
146;J0414+31;NAN;NAN;NAN;NAN;166.112;-14.415;63.50000000;31.00000000;1.081000;NAN;64.10;20.000;49.000;NAN;NAN;NAN;NAN;1.842;1.842;-0.459;0.428;10.232;NAN;gbncc;NAN;
147;J0415+6954;-0.757;-12.626;NAN;49874.00;138.911;13.667;63.98188898;69.90274737;0.390715;7.66e-17;27.45;4.400;12.100;NAN;6.40;0.50;NAN;1.368;1.368;0.323;0.874;9.502;NAN;gb2,gb4,gbncc,lotaas;NAN;
148;J0417+35;NAN;NAN;NAN;49717.00;163.219;-10.518;64.42916667;35.75000000;0.654400;NAN;48.53;8.000;18.000;NAN;NAN;NAN;NAN;1.480;1.480;-0.270;0.420;9.893;NAN;ar4,lotaas,gbncc;NAN;
149;J0417+61;NAN;NAN;NAN;56292.00;145.299;7.540;64.25000000;61.13333333;0.440283;NAN;70.14;19.000;38.000;NAN;1.50;NAN;NAN;1.837;1.837;0.241;1.037;9.997;NAN;gbncc;NAN;
150;J0418-4154;NAN;NAN;NAN;57600.00;246.262;-45.682;64.51572833;-41.90400556;0.757119;1.32e-15;24.32;14.000;27.000;NAN;NAN;NAN;NAN;2.519;2.519;-1.802;-1.611;9.208;NAN;ghrss;NAN;
151;J0418+5732;NAN;NAN;NAN;55045.00;147.979;5.119;64.64111250;57.53969722;9.078388;4.10e-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;XRS:SGR_0418+5729;misc;AXP,NRAD;
152;J0418+6635;NAN;NAN;NAN;NAN;141.525;11.536;64.70000000;66.59027778;0.002910;NAN;77.60;NAN;NAN;NAN;NAN;NAN;NAN;2.206;2.206;0.441;1.345;10.192;GRS:4FGL_J0418.9+6636[aab+22];misc,FermiAssoc;HE[trr+21,aab+22];
153;J0419+44;NAN;NAN;NAN;54100.00;157.525;-4.494;64.75000000;44.00000000;1.241000;NAN;71.00;NAN;NAN;NAN;NAN;NAN;NAN;1.687;1.687;-0.132;0.643;10.054;NAN;gbt350;NAN;
154;J0420-5022;NAN;NAN;NAN;55430.60;258.136;-44.386;65.00812500;-50.38002778;3.453004;2.76e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];misc;XINS,NRAD;
155;J0421-0345;NAN;NAN;NAN;50847.00;197.504;-34.757;65.38981694;-3.75183645;2.161308;1.16e-15;44.61;25.000;34.000;NAN;6.00;0.50;NAN;2.196;2.196;-1.252;-0.543;10.221;NAN;pks70,gbncc;NAN;
156;J0421+3255;NAN;NAN;NAN;57310.00;165.840;-11.921;65.38833333;32.93055556;0.900105;6.00e-17;77.02;231.000;634.000;NAN;NAN;NAN;NAN;1.939;1.939;-0.401;0.464;10.340;NAN;misc,lotaas;NAN;
157;J0426+4933;NAN;NAN;NAN;56100.00;154.436;0.288;66.52838750;49.56068333;0.922475;3.93e-14;84.30;14.000;28.000;NAN;NAN;0.19;NAN;1.795;1.795;0.009;0.775;10.119;NAN;gbt350,htru_eff,lotaas,gbncc;NAN;
158;J0435+2749;NAN;NAN;NAN;53400.00;171.842;-13.071;68.96590833;27.81713889;0.326279;8.17e-18;53.19;53.000;NAN;NAN;2.00;0.24;NAN;1.521;1.521;-0.344;0.210;9.967;NAN;ar4,lotaas;NAN;
159;J0447-04;NAN;NAN;NAN;56657.00;202.072;-29.657;71.75000000;-4.58333333;2.188190;NAN;29.83;NAN;NAN;NAN;NAN;NAN;NAN;0.675;0.675;-0.334;-0.220;9.044;NAN;gbt350;RRAT;
160;J0448-2749;NAN;NAN;NAN;51009.00;228.347;-37.918;72.17319758;-27.82964862;0.450448;1.48e-16;26.22;11.000;21.000;NAN;2.00;2.00;NAN;1.809;1.809;-1.112;-1.066;9.448;NAN;pks70,pkshl,gbncc;NAN;
161;J0449-7031;NAN;NAN;NAN;52465.00;282.286;-35.512;72.27362500;-70.52547222;0.479164;3.37e-15;65.83;7.500;NAN;NAN;NAN;0.06;NAN;49.700;50.463;-28.869;-39.529;-0.109;EXGAL:LMC;misc;NAN;
162;J0450-1248;NAN;NAN;NAN;49338.00;211.075;-32.629;72.53658750;-12.80197222;0.438014;1.03e-16;37.04;23.000;36.000;0.00;11.00;1.20;NAN;1.774;1.774;-0.957;-0.771;9.780;NAN;mol2,pks70;NAN;
163;J0451-67;NAN;NAN;NAN;52817.00;278.410;-36.290;72.95833333;-67.30000000;0.245454;0.00e+00;45.00;5.500;NAN;NAN;NAN;0.05;NAN;49.700;4.184;-29.416;-39.629;2.641;EXGAL:LMC;misc;NAN;
164;J0452-1759;11.500;6.000;0.600;52275.00;217.078;-34.087;73.14210708;-17.98982528;0.548939;5.75e-15;39.90;27.000;37.000;0.00;82.00;16.80;NAN;0.400;2.711;-0.224;-0.200;8.764;NAN;mol1,mol2,pks70;NAN;
165;J0454+4529;NAN;NAN;NAN;56909.00;160.706;1.243;73.74712500;45.49630556;1.389137;4.89e-15;20.83;23.540;48.300;NAN;NAN;NAN;NAN;0.765;0.765;0.017;0.253;9.222;NAN;lotaas;NAN;
166;J0454+5543;53.340;-17.560;0.840;52275.00;152.617;7.547;73.53229417;55.72817694;0.340729;2.37e-15;14.59;8.100;29.100;0.00;59.00;13.00;NAN;1.180;0.637;0.155;0.538;9.539;NAN;gb1,gb2,gb4,gbncc,lotaas;NAN;
167;J0455-6951;NAN;NAN;NAN;48757.00;281.290;-35.187;73.94812500;-69.85952778;0.320423;1.02e-14;94.70;2.800;9.400;NAN;0.60;0.08;NAN;49.700;50.586;-28.640;-39.832;0.548;EXGAL:LMC;misc;NAN;
168;J0456-69;NAN;NAN;NAN;52038.00;280.457;-35.334;74.12500000;-69.16666667;0.117073;NAN;103.00;NAN;NAN;NAN;NAN;NAN;NAN;49.700;50.514;-28.744;-39.872;1.141;EXGAL:LMC;misc;NAN;
169;J0456-7031;NAN;NAN;NAN;52560.00;282.049;-34.966;74.01041667;-70.51850000;0.800132;3.67e-14;100.30;8.000;NAN;NAN;NAN;0.01;NAN;49.700;51.132;-28.483;-39.831;-0.002;EXGAL:LMC;misc;NAN;
170;J0457+23;NAN;NAN;NAN;56160.00;178.305;-12.005;74.27500000;23.56666667;0.504900;NAN;59.00;NAN;NAN;NAN;NAN;NAN;NAN;1.517;1.517;-0.316;0.044;9.983;NAN;ar327,lotaas;NAN;
171;J0457-6337;NAN;NAN;NAN;52465.00;273.816;-36.701;74.28245833;-63.62511111;2.497012;2.10e-16;27.50;36.000;NAN;NAN;NAN;0.03;NAN;1.333;1.333;-0.797;-1.066;8.429;NAN;misc;NAN;
172;J0457-69;NAN;NAN;NAN;55383.00;281.143;-35.113;74.25833333;-69.76666667;0.231390;NAN;91.00;NAN;NAN;NAN;NAN;NAN;NAN;49.700;50.356;-28.587;-39.889;0.643;EXGAL:LMC;misc;NAN;
173;J0458-0505;NAN;NAN;NAN;55178.00;204.139;-27.348;74.65467083;-5.08475000;1.883480;5.30e-16;47.81;18.000;40.000;NAN;NAN;NAN;NAN;1.938;1.938;-0.890;-0.704;10.071;NAN;gbt350,gbncc;NAN;
174;J0458-67;NAN;NAN;NAN;51810.00;278.670;-35.518;74.74583333;-67.71666667;1.133900;NAN;97.00;NAN;NAN;NAN;NAN;NAN;NAN;49.700;50.185;-28.873;-39.990;2.402;EXGAL:LMC;misc;NAN;
175;J0459-0210;NAN;NAN;NAN;50845.00;201.444;-25.678;74.96642205;-2.16850891;1.133076;1.40e-15;21.02;9.900;43.000;NAN;11.00;0.60;NAN;0.160;0.160;-0.069;-0.053;8.634;NAN;pks70,lotaas,gbncc;NAN;
176;J0501+4516;NAN;NAN;NAN;54750.00;161.547;1.949;75.27816667;45.27608889;5.762097;5.82e-12;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.000;NAN;0.068;0.633;10.396;OPT:[dml+11];misc;AXP,NRAD;
177;J0502+4654;-8.000;8.000;NAN;48717.00;160.363;3.077;75.51900417;46.90169167;0.638565;5.58e-15;41.83;22.700;36.600;0.00;10.80;2.50;NAN;1.319;1.319;0.071;0.443;9.740;NAN;gb1,gb3,gbncc;NAN;
178;J0502-6617;NAN;NAN;NAN;48771.00;276.869;-35.504;75.71054167;-66.29966667;0.691251;2.31e-14;68.90;NAN;NAN;NAN;1.00;NAN;NAN;49.700;49.066;-28.864;-40.169;3.661;EXGAL:LMC;misc;NAN;
179;J0506+50;NAN;NAN;NAN;NAN;157.896;5.803;76.55875000;50.50833333;0.003390;NAN;43.40;NAN;NAN;NAN;NAN;NAN;NAN;1.383;1.383;0.140;0.518;9.775;GRS:4FGL_J0506.1+5028[aab+22];fast_crafts,FermiAssoc;HE[qpl+19,aab+22];
180;J0509+37;NAN;NAN;NAN;NAN;168.605;-1.562;77.25000000;37.53333333;2.496100;NAN;30.00;NAN;NAN;NAN;NAN;NAN;NAN;0.930;0.930;-0.025;0.184;9.411;NAN;pumps;NAN;
181;J0511-6508;NAN;NAN;NAN;52409.00;275.250;-34.827;77.98541667;-65.14347222;0.322062;2.06e-16;25.66;12.000;NAN;NAN;NAN;0.31;NAN;0.818;0.818;-0.467;-0.669;8.439;NAN;misc;NAN;
182;J0514-4002B;2.145;-0.650;0.088;NAN;244.513;-35.036;78.52804167;-40.04663889;0.002816;NAN;52.08;0.380;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
183;J0514-4002C;2.145;-0.650;0.088;NAN;244.514;-35.036;78.52787500;-40.04705556;0.005565;NAN;52.05;0.560;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
184;J0514-4002J;2.145;-0.650;0.088;NAN;244.513;-35.036;78.52791667;-40.04666667;0.006633;NAN;52.02;0.720;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
185;J0514-4002K;2.145;-0.650;0.088;NAN;244.513;-35.036;78.52833333;-40.04666667;0.004692;NAN;51.93;0.160;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
186;J0514-4002M;2.145;-0.650;0.088;NAN;244.513;-35.036;78.52833333;-40.04666667;0.004798;NAN;51.68;0.320;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
187;J0514-4002N;2.145;-0.650;0.088;NAN;244.513;-35.036;78.52791667;-40.04638889;0.005568;NAN;51.07;0.890;NAN;NAN;NAN;NAN;NAN;11.950;25.000;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];meerkat_trapum;NAN;
188;J0514-4408;NAN;NAN;NAN;57330.00;249.515;-35.365;78.71745833;-44.14371667;0.320271;2.04e-15;15.12;5.600;30.600;NAN;NAN;NAN;NAN;0.966;0.966;-0.559;-0.738;8.776;GRS:[brs+19];ghrss;HE[brs+19];
189;J0517+2212;NAN;NAN;NAN;53400.00;182.176;-9.012;79.32144583;22.21441667;0.222367;1.16e-17;18.70;27.000;38.000;NAN;7.00;0.46;NAN;0.159;0.159;-0.025;-0.006;8.657;NAN;ar4,lotaas;NAN;
190;J0518+5125;NAN;NAN;NAN;57829.00;158.262;7.903;79.60893750;51.43297222;0.912512;1.91e-16;39.24;33.000;NAN;NAN;NAN;NAN;NAN;1.337;1.337;0.184;0.490;9.730;NAN;lotaas;NAN;
191;J0518+5416;NAN;NAN;NAN;56500.00;155.916;9.557;79.72166526;54.28055748;0.340203;1.68e-15;42.33;10.000;20.000;NAN;NAN;NAN;NAN;1.434;1.434;0.238;0.577;9.791;NAN;gbncc,lotaas;NAN;
192;J0519+44;NAN;NAN;NAN;54100.00;164.464;3.754;79.75000000;44.00000000;0.515000;NAN;52.00;NAN;NAN;NAN;NAN;NAN;NAN;1.421;1.421;0.093;0.380;9.866;NAN;gbt350;NAN;
193;J0519-6932;NAN;NAN;NAN;52466.00;280.287;-33.254;79.94548750;-69.53985556;0.263212;6.97e-16;118.86;3.600;10.000;NAN;NAN;0.13;NAN;49.700;49.732;-27.253;-40.894;1.078;EXGAL:LMC;misc;NAN;
194;J0520-2553;NAN;NAN;NAN;51216.00;228.434;-30.543;80.15077229;-25.88674819;0.241642;3.01e-17;33.77;10.000;13.000;NAN;8.00;0.80;NAN;2.379;2.379;-1.209;-1.533;9.859;NAN;pks70,pkshl,gbncc;NAN;
195;J0521-68;NAN;NAN;NAN;51871.00;279.124;-33.262;80.43333333;-68.58333333;0.433421;NAN;136.00;NAN;NAN;NAN;NAN;NAN;NAN;49.700;49.777;-27.259;-41.032;1.910;EXGAL:LMC;misc;NAN;
196;J0522-6847;NAN;NAN;NAN;52503.00;279.348;-33.168;80.59608333;-68.78394444;0.674532;1.77e-14;126.45;15.000;NAN;NAN;NAN;0.08;NAN;49.700;49.581;-27.191;-41.050;1.743;EXGAL:LMC;misc;NAN;
197;J0523-7125;NAN;NAN;NAN;NAN;282.415;-32.547;80.95275000;-71.43127222;0.322500;NAN;157.50;100.000;NAN;NAN;NAN;1.00;NAN;49.700;100.000;-26.738;-40.915;-0.507;EXGAL:LMC;misc;NAN;
198;J0525+1115;31.000;-1.000;NAN;48262.00;192.695;-13.246;81.48520125;11.25530000;0.354438;7.36e-17;79.42;14.000;17.000;0.00;19.50;1.94;NAN;1.841;1.841;-0.422;-0.394;10.248;NAN;mol2,gb4,lotaas;NAN;
199;J0525-6607;NAN;NAN;NAN;52153.00;276.087;-33.246;81.50375000;-66.07675000;8.047000;6.50e-11;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];misc;AXP,NRAD;
200;J0528+2200;-20.000;7.000;NAN;53100.00;183.856;-6.896;82.21776667;22.00111111;3.745539;4.01e-14;50.87;151.900;214.200;0.00;57.00;8.90;NAN;1.215;1.215;-0.146;-0.081;9.703;NAN;gb1,gb3,gb4,lotaas;NAN;
